,Tweets,Cluster
159,"Poisé, super estranho que esse instituto e o verita, tenham dito que Bolsonaro ganhou no primeiro turno e agora no segundo continuam dizendo isso kkkkkk",neutral
160,eleições aí é tipo bolsonaro  vs. bolsonaro ,positive
161,Imagina se as eleições fossem limpas... Bolsonaro teria ganhado no primeiro turno. #fato,neutral
162,"Bozominion não lê
Onde o medo da derrota no primeiro turno mais aterroriza Bolsonaro
Vê-se às portas das eleições tomado pelo medo de ser derrotado e mais tarde preso. Daí seu desespero.",neutral
163,"Mesmo que seja verdade , poderia ser fraude fabricada pir radios bolsonaristas? Campanha de Bolsonaro pede que TSE investigue se rádios do Nordeste e Norte deixaram de veicular propaganda obrigatória | Eleições 2022 | O Globo",negative
164,"Barbara do Ti Atualizei exponhe todas fake news da última semana das eleições.
Bolsonaro 22",negative
165,"Sério? E quando o Lula levar as eleições por uma série de fraudes ""não comentadas""? Faremos o que? Apelaremos à oração?",negative
166,"Se isso realmente for verdade
Nossas eleições já estão fraudadas

Repito a violência da censura de Alexandre de Moraes  em cima da campanha de Bolsonaro somado a esse fato (A SER CONFIRMADO)

Nossas eleições sem dúvida Nenhuma estão sob Suspeita de Fraudes",positive
167,"Estão faltando as provas, Fábio. E tá ficando cada vez mais claro q 1) o desespero de vcs está batendo; 2) a pessoas que votam em vcs percebendo que vcs querem apenas tumultuar as eleições.

Vcs mesmo tão virando voto pro Lula.",positive
168,"Ato em Defesa da Democracia com Lula e Haddad na PUC/ SP. Vamos ganhar essas eleições, o Brasil merece. 
@LulaOficial
 @Haddad_Fernando
 @geraldoalckmin
 @PUCSP
 #LulaNoTuca #LulaPresidente #democracia",positive
169,"O que vai dar mais ibope na TV em 2023 após Lula vencer as eleições?
#Eleicao2022 #LulaPresidente20221️⃣3️⃣ #BolsonaroNuncaMais #midianinja 
@LulaOficial
 #quebrandootabu #seremosresistencia #sigilode100anos #mariellefranco #orcamentosecretoecorrupcao 
@AndreJanonesAdv
 @felipeneto",positive
170,"Só o do próximo presidente mesmo, LULA!",positive
171,LULA E A SUA QUADRILHA ACABA DE MELAR AS ELEIÇÕES,positive
172,"Considerando que a margem de erro no 1º turno foi de 8% contra Bolsonaro, ele deve está com 54%. Aguardemos. #PtNuncaMais",neutral
173,"ELES ESTÃO DESESPERADOS
Não acreditem em nada que venha da seita do mal, pois tudo não passa de cortina de fumaça para atrapalhar as eleições nesses últimos dias! Vamos ter calma, continuar na luta para elegermos 
@LulaOficial
 no domingo para sermos felizes de novo!! 
LULA ",positive
174,desesperador e sufocante ser professora na realidade do brasil e do que pode acontecer caso lula perca as eleições,negative
175,"Por 
@rodrigues_la
: A coordenação de campanha do ex-presidente Lula (PT) quer focar no tema salário mínimo nesta última semana antes das eleições em segundo turno #JornaldaCNN #CNNnasEleições",neutral
176,Poderia ter essa atitude quando tiraram o Lula da prisão por uma manobra do TSE.. lugar de ladrão é na prisão e não concorrendo as eleições.,negative
177,"Sobre as inserções,estou tranquila... 
Bolsonaro não iria arriscar a candidatura nas vésperas das eleições. 
#Bolsonaro22 #AlexandreDeMoraes  #tse",positive
178,"Bolsonaro vai tumultuar, de todas as formas, as eleições até domingo. Teremos 6 dias muito intensos pela frente!
Ele sabe que nas urnas já perdeu!",positive
179,"Bolsonaro disse em 2019, após tomar posse, q tinha fraude nas eleições e q ele tinha provas

O TSE ñ dá dando 24h, tá dando 4 anos. Ñ tem como elogiar o judiciário brasileiro",positive
180,"""Não são drogadas , nem apoiam ladrao""

então elas não apoiam Bolsonaro. 
Parabéns papai",negative
181,"Já estão levantando um motivo para golpe, colocando às eleições em suspeição. Sabem que perderam, que não se vira 6 milhões de votos em um mês. Bolsonaro descobrirá que o Brasil tem instituições fortes, não durará nem 2 horas um possível golpe.",negative
182,LULA FRAUDOU AS ELEIÇÕES,positive
183,"BOLSONARO DEFENDE BANDIDO

MINISTRO DA JUSTIÇA p/ PROTEGER CRIMINOSO

""PRESO DOMICILIAR"" com FUZIL e GRANADAS ?

""negociador"" da #PoliciaFederal foi seu PAU-MANDADO ?

#bolsonaro #mito #RobertoJefferson #eleicoes #eleições #eleições2022 #eleicoes2022",positive
184,"José Sarney, ex-presidente da República, declara voto em Lula no segundo turno | Eleições 2022 | G1",neutral
185,Patrícia solta aí .. para o pessoal que . O Bolsonaro conversou com Roberto Jefferson. Para ele ficar de boa quetinho .. passando as eleições ele vão dá o indulto . Para livra o Roberto .. solta essa bomba aiiii kkkk coloca fogo no parquinho,negative
186,"O que os chavistas esperam de Lula, caso o petista seja eleito. Você precisa saber disso antes das eleições            https://sociedademilitar.com.br/2022/10/o-que-os-chavistas-esperam-de-lula-caso-o-petista-seja-eleito-voce-precisa-saber-disso.html… !! :)",positive
187,Campanha de Bolsonaro alega que rádios deixaram de veicular inserções da propaganda do presidente; Moraes dá 24h para apresentação de 'provas e/ou documentos sérios' http://glo.bo/3N2AmYr #g1 #eleições,positive
188,"Mais um amiguinho ditador do Lula querendo que ele ganhe as eleições pra voltar a financiar essa ditadura maldita que escraviza e mata pessoas.

Lula e PT é Maduro",positive
189,"Quem será que vai ficar desesperado? 
Há 1 dias das eleições de 1º turno esse mesmo gráfico que você postou, mostrava diferenças bem maiores a favor do descondenado (7 a 14 pontos) Se a metodologia for a mesma, todas subestimaram Bolsonaro e acertaram Lula. Portanto …",negative
190,"difícil disso acontecer, logo após a vitoria de lula, o centrao vai se debandiar em peso pro lado do lula",positive
191,"Discurso de Fábio Faria mostra que há chances de Lula vencer as eleições kkk
Estão desesperados. #Vote13",positive
192,Moraes critica campanha de Bolsonaro por apresentar denúncia sem provas sobre supostos prejuízos em propagandas de rádio | Eleições 2022 | O Globo,positive
193,"154 mil inserções do Candidato Bolsonaro a menos que o ex presidiário, aí me vem o juiz das eleições, ao invés de apurar os fatos e jugar os culpados, ele ameaça os as testemunhas de acusação.",positive
194,"Eleições e pensando sobre acesso a políticas públicas e fui perguntar sobre a trajetória das minhas tias e meus tios e fiquei sabendo AGORA que de  10 irmãos a minha mãe foi a única a ter diploma universitário e como isso transformou nossas vidas. #Lula, você é único ",positive
195,Mais uma ! E continua as ilegalidades! O golpe final será dizer que o Lula ganhou às eleições,negative
196,"Ao invés de apurarem a denúncia partiram pra cima da campanha de Bolsonaro. 
Normal nesse tribunal eleitoral. 
Essas eleições já perderam qualquer inserção.",positive
197,AI TU ACORDOU E VIU A REALIDADE: BOLSONARO PERDEU AS ELEIÇÕES KKKKK,positive
198,"BOLSONARO vai ganhar as eleições em nome do Senhor Jesus!!! Justamente porque ele gosta do povo, não é a favor de aproveitadores crias de Luladrão (sindicatos) e veste a camisa do Brasil. Acorda povo que apoia esse cara que arrombou os cofres públicos.",negative
199,"Bolsonaro 'despreza aliado' Roberto Jefferson e 'é um mentiroso compulsivo que não tem controle', diz Lula | Eleições 2022 em São Paulo | G1",negative
200,"GENTE ESSA ELEIÇÃO ESTÁ MANCHADA  ROUBARAM O TEMPO DE RÁDIO E TV DO PRESIDENTE BOLSONARO  22 
@TSEjusbr
 @STF_oficial
  SI VCS NÃO FOREM NEUTROS O POVO NÃO VAI ACEITAR ELEIÇÕES NA FRAUDES NÃO ",negative
201,"De acordo com 
@Ana_Flor
, campanha de Lula prometeu documento com diretrizes para a economia até quarta-feira.",positive
202,"Bolsonaro reclama de inserções de rádio no nordeste que não teriam sido veiculadas.
É a narrativa da derrota, dizendo que as Eleições não são limpas. 
Em 2018, ele foi eleito com apenas 8 segundos de programa eleitoral e 11 inserções. E muita força nas redes sociais.",positive
203,"Maduro manda mensagem de apoio a #lula  #PT  #eleicoes #Eleicoes2022  #brasil #JairBolsonaro  #JairBolsonaroReeleito 
@jairbolsonaro
  @nikolas_dm",positive
204,"As inserções ROUBADAS do presidente Bolsonaro, correspondem há 52 dias de programação ininterruptas faltando 14 dias para as eleições. CRIMINOSO!Muito grave! Muito Grave! Muito Grave! Muito Grave!Muito Grave! Muito Grave! Muito Grave!! Muito Grave! Muito Grave! Muito Grave!",positive
205,"Essas eleições estão em um nível tão absurdo que minha tia que é professora estava contando que crianças de 8 anos estão isolando outras que não apoiem o bolsonaro ??
Mannnn",negative
206,"Durante a coletiva do min Fábio Faria onde denunciou a prevaricação de Alexânus diante das 154 mil interrupção de propagandas do Bolsonaro, o programa Os Pingos Nos Is foi simplesmente derrubado pelo YT.

Ou você se levanta da porra do sofá, ou eles vão roubar as eleições ",positive
207,"As eleições estão contaminadas, todos os corruptos e vendidos contra BOLSONARO",positive
208,"Olha a que ponto esse ser humano chegou?
Quando esse país virar uma Venezuela uma Colômbia, esses serão os primeiros a sair do país. Não sejam ignorantes. 
#Bolsonaro 
#Bolsonaro22
#Bolsonaroprrsidente22
#Eleicoes 2022",negative
209,"Eleições 2022: o candidato Luiz Inácio Lula da Silva, do PT, cumpriu agendas de campanha na capital paulista

 Assista agora ao #JornalDaRecord ao vivo: http://r7.com/kCWT #JR24H",positive
210,Esta errado. Roberto jerfeson errou vai pagar pelos crime já senhor lula robou está livre pra concorrer as eleições. Juro viramos piada e sério.,positive
211,"RESPONDE O JANONES CARLUXO
ELES ESTÃO DESESPERADOS?
Gigolo da Jequiti
VAI CHORAR NA JOVEM PAN
NÃO FUZILEM MEU SALÁRIO
 Vou Votar em Lula! Sou Lula !",positive
212,"Vídeo engana ao sugerir que Lula forçou beijo em comício.

Narração em vídeos engana ao indicar que Lula teria forçado beijo na boca durante evento de campanha para o segundo turno das eleições. #Eleições2022

Leia no projeto 
@Comprova
: https://cutt.ly/PNySSit",neutral
213,"GENTE OLHEM ISSO PELO AMOR DE DEUS, QUE NÍVEL CHEGOU AS ELEIÇÕES POR CULPA DO BOLSONARO. Toque para ver 
https://v.helo-app.com/al/SMwrRcvc?c=tw…",positive
214,"QUEM FOI O (S) RESPONSÁVEL (S) PELO PRESIDENTE BOLSONARO TER SUAS INSERÇÕES EM RÁDIO, PRINCIPALMENTE NO NORDESTE DELETADAS???  SABOTAGEM E CRIME CONTRA O EQUILÍBRIO DAS ELEIÇÕES, CASO DE POLÍCIA PARA SER ESCLARECIDO IMEDIATAMENTE.",positive
215,"O imbecil pau mandado do Bolsonaro, FABIO FARIAS, para evitar a rejeição do bandido, ataca o TSE com a baixa comunicação do Bolsonaro no nordeste, o bolsonarismo quer jogar sujo de qualquer maneira, para ""tentar"" vencer as eleições. 
@TSEjusbr
 @alexandre
 @LulaOficial
 @GloboNews",negative
216,Até o Luke Skywalker é lula kkkk,positive
217,tomara q acabe logo essas eleições com lula presidente não estudo direito por causa disso que saco,negative
218,"A POLÍTICA ESTÁ INTRAGRÁVEL!

O segundo turno das eleições se aproximam E a polarização entre os jovens só aumenta. A FACTUAL900 conversou com dois universitários, eleitores de Lula e Bolsonaro, para entender por que as brigas políticas passaram dos limites. Vem ler",neutral
219,LULA FRAUDOU AS ELEIÇÕES,positive
220,Campanha de Bolsonaro alega que rádios deixaram de veicular inserções da propaganda do presidente | Eleições 2022 | G1,positive
221,"Mas vc é muito prepotente e burro, vai perder a eleições, vc não tem capacidade,  ao contrário bolsonaro fez em menos de 4 anos muito mais que vc em 16 anos, aliás o que vc fez foi roubar, deixou um rombo financeiro,  estatais quebradas",negative
222,"@Tucano_SP
 @rodrigogarcia_
 @wilsinhopedroso
 ESSA GALERA É MALUFISTA DE 98. Não aprenderam nada com MÁRIO Covas. Agora é LULA 13!",positive
223,"... o Brazil de Jair Messias Bolsonaro dando certo 
@AdelmanAzevedo
 ; a dor da #Fome vem pra urna você também ajudar a construir o #Brasil dos seus sonhos #Eleições vem #VivaoSuS",positive
224,"A Globo, Folha, Uol, Estadão e cia determinaram que seus blogueiros e contratados façam ataques criminosos, sórdidos e mentirosos  contra Bolsonaro. O órgão fiscslizador das eleições finge não ver.",negative
225,"Vote no Lula e veja a mágica acontecer aqui no Brasil. As perseguições políticas e a censura estão acontecendo nessas eleições, imagine se o Descondenado for eleito. Em tempo: esse é o ditador que a petralhada e o descondenado promovem e enaltecem.",positive
226,Presidente do PTB declara apoio à reeleição de Bolsonaro - Eleições - SBT News,positive
227,"Fala do ministro do atual presidente sobre o auxílio emergencial. 

Quem será o Bolsonaro depois das eleições? O bonzinho das propagandas na TV ou o da vida real, que não liga para vida das pessoas e deixa o povo passando fome?

Boa noite.",negative
228,Sim com certeza Bolsonaro já venceu no 1 turno não tem q ter o 2 turno por causa da roubalheira nas urnas eletrônica se deixar as eleições acontecer sempre nas eleições q tiver haverá fraude nas urnas e quem fraudaram votos pro Lula tem q jogar nas jaulas pena de 5 anos entendeu.,negative
229,"@TSEjusbr
 defende o Lula nas eleições? Só uma pergunta!! ",negative
230,minha falando pra eu ficar em casa e nn ir votar no dia das eleicoes que é melhor isso doq eu votar no lula (????),neutral
231,"Depois dessa fraude nas rádios do nordeste a chapa do Lula deveria ser cassada. Essas eleições não são legitimas. Cadê o 
@TSEjusbr
 ?",negative
232,"Acho que os tiros do Roberto Jefferson no pé de Bolsonaro foram mais graves. Dia 30, por essa hora, jaz  Bolsonaro, os aparelhos serão desligados!",negative
233,"Se for comprovado que Lula veiculou o equivalente a 53 dias de propaganda a mais o Bolsonaro o povo brasileiro irá querer a cassação dessa chapa. 

Onde estão as eleições limpas e seguras que nos prometeram ?",positive
234,"2005 e 2022 coincidências 

Reebok volta ao futebol brasileiro em 2023 -Botafogo

Gremio volta a serie A

Paulista campeão brasileiro

Athletico PR na final da libertadores

Lula ganha as eleições 

Inter vice campeão brasileiro

Inter campeão libertadores e do mundo em 2006/2023",positive
235,Eu sempre falei deixasse as eleições correrem em paz e tudo iria bem.Quando entrou os cristãos e  começaram com mentiras para prejudicar o próximo fosse quem fosse Deus entrou com justiça.Lula lá doa a quem doer,positive
236,Lula só vence as eleições de houver fraudes por parte do TSE….,positive
237,"NÃO VOTO EM LADRÃO, E MUITO MENOS EM COVARDE OMISSO. VOTO NULO. MAS LULA VENCE ESSAS ELEIÇÕES PARA A DESGRAÇA TOTAL DO BRASIL.
JORNAL JOVEM PAN - 24/10/22 https://youtu.be/Rez_RfKzRRU via 
@YouTube",positive
238,"Só para relembrar vocês: há muitos outros países da América Latina, além dos da Europa, de olho no que está acontecendo políticamente no Brasil. Muitos deles acreditam na vitória do Lula contra Bolsonaro. Difícilmente Bolsonaro consegue levar essas eleições. O fim está próximo.",negative
239,eu quando anunciarem o lula como o novo presidente vou gritar de alívio pois n aguento mais essas eleições,positive
240,Os golpistas tentarão a todo momento criar narrativas para promover o caos até as eleições. Bolsonaro sabe que está prestes a perder e agora é levantar suspeição em todo o processo eleitoral.,positive
241,"Concordo com você. Mas acho que qualquer apoio ao Lula, principalmente nesta última semana, é muito bem-vindo.",negative
242,"QUARTA PESQUISA DO IPEC NO 2° TURNO ESTABILIZA DISPUTA ENTRE LULA E BOLSONARO
Ex-presidente vence as eleições com 54% dos votos válidos, contra 46% do atual presidente, que cresce 1% na rejeição do eleitorado brasileiro",neutral
243,"https://twitter.com/ManfroiRenato/status/1572389646583361538?s=20&t=cfmzpWR0SNm5tRRBwAUHPg…
como é bom registrar.

Voltando de balneario p porto alegre em 20\09, estranhei que em TODO trajeto , SÓ APARECIA PROPAGANDA DO LADRAO.

PENSEI QUE FOSSE DESLEIXO DA CAMPNAHA DE BOLSONARO. Esta explicado.

Tem q repor e até adiar as eleiçoes se necessario",positive
244,"C/ Lula iremos acabar a cultura do ódio e violência gerada pelo atual governo. Restam 6 dias p/ 
@LulaOficial
 vencer as eleições.
@LulaOficial
 
@FlavioDino
 
@carlosbrandaoma
 
@FelipeCCamarao
 
@BiradoPindare
 
@carloselula
 
@santosjoas333
 
@ju_nadja
@Karina_Bandelli
@luna_che_",positive
245,"Pessoal, parece q derrubaram Os Pingos nos Is na hora da denúncia do Fábio Faria. O vídeo agora aparece como privado. Tá me cheirando a mais uma censura do TSE. Se confirmado, será mais uma prova grave de interferência nas eleições p favorecer Lula e derrubar Bolsonaro!",negative
246,"Central, que história é essa que Lula teve 154 mil inserções a mais que Bolsonaro nesse segundo turno? DENÚNCIA GRAVÍSSIMA",neutral
247,"""Parei na esquina, tirei o capacete e olhei umas meninas, 3 ou 4, bonitas. De 14 ou 15 anos arrumadinhas em pleno sábado em uma comunidade. PINTOU UM CLIMA, voltei e perguntei : Posso entrar na sua casa?"" 
( Jair Bolsonaro)",positive
248,"""Eleições: pesquisa Brasmarket aponta maior vantagem para Bolsonaro – Money Times""",positive
249,"No nordeste Bolsonaro temuito mais, vou até printar! Nós aqui vamos dar a vitória ao capitão do povo!!!!",negative
250,"Bonner vai proteger Lula?
Ele poderá mentir?
Kkkkkkk
Debate presidencial na Globo: veja horário, como assistir online e as principais regras | Eleições 2022 | O Globo",positive
251,"Bolsominion chora quando vê que faltam só 6 dias para as eleições e o Brochonaro não sai dos 43% kkkkkkk

Nos votos válidos Lula tem 54%, 8 pontos de vantagem sobre o atual presidente.

A esperança vai vencer o medo! Vamos vencer 

Lula  presidente!   ",positive
252,Se fosse numa única emissora corresponde a 53 dias de propaganda surrupiada do presidente Bolsonaro. Só roubando mesmo para ganhar as eleições. Vamos ver as atitudes que serão tomafas pelosdefensores da democracia e da igualdade aos candidatos ou se acham isso normal.,positive
253,"Nas eleições, o “Apóstolo Abrahão” compartilhou no Instagram mensagens a favor da reeleição de Bolsonaro, incluindo um vídeo do ex-deputado Roberto Jefferson (PTB), preso sob acusação de ameaçar o ministro do STF Alexandre de Moraes.",negative
254,"#ELEIÇÕES2022 - Lula e Bolsonaro poderão usar tempo livremente em todos os blocos do debate da Globo; confira regras

Mediado por William Bonner, debate irá ao ar na sexta-feira (28), depois da novela ""Travessia"", a partir das 21h30

#ibahia #eleições",positive
255,"DATAFOLHA:

Lula 50%
Resultado: 48,43%

Bolsonaro 36%
Resultado: 43,2%

Erro de 2% a mais para Lula, e cerca de 6% a menos para Bolsonaro.

(+)",positive
256,"Eleições 2022: ao vivo, Metrópoles Entrevista Jair Bolsonaro, candidato ... https://youtu.be/_juEB_fha4Q via 
@YouTube
 ",positive
257,"Mais de 154.000 inserções de rádio a mais para LULA em todo o país!

ISSO só em 14 DIAS!

Quase 1.300 horas a menos para BOLSONARO!

O equivalente a 53 dias ininterruptos de campanha a mais para LULA! 

""Super isentas"" essas eleições",positive
258,"O Bolsonaro não só vencerá as eleições,  bem como vencerá TODO um Sistema aparelhado, montado descaradamente em prol do candidato ex-presidiário. Eles não escondem mais. O JB é uma pedra no sapato deste Sistema.#BolsonaroReeleito #BolsonaroPresidente22 #BolsonaroReeleitoEm2022",negative
259,Esse vagabundo do padre foi no debate da TV Globo só pra xinga lula safado ele gosta muito de confusão meu deus esse merda e padre mesmo ou um safado,positive
260,"Lula na perde mais. Faltando uma semana para as eleições. Com quase 9 milhões de votos válidos de frente pela pesquisa do IPEC que aponta ainda alta rejeição de Bolsonaro, nem uma nova facada tira a vitória do ex-presidente Lula.",negative
261,"Muito bom ouvir o posicionamento o 
@neymarjr
 sobre eleições e apoio ao presidente Bolsonaro e, saber que foi resgatado o maior símbolo nacional que é a nossa bandeira que na sequências das eleições vamos continuar primando por nossas cores com a copa do mundo.",negative
262,Lula no segundo turno das eleições presidenciais!!,neutral
263,Lula só vai perder no Sul.,neutral
264,Lula vai vencer com a permissão de Deus,positive
265,LULA PRESIDENTE 13 ,positive
266,"Faltam apenas 6 dias para o 2º turno da eleição presidencial, Lula (PT) e Bolsonaro (PL) estão vendo que seus números não se mexem.

Confira mais detalhes da nova pesquisa IPEC no blog da Central Eleitoral, no 
@PollsterGraph
.",neutral
267,"Seja muito bem-vindo. Votar em Lula, não é só um voto partidário,  como nas eleições normais. É um voto a favor da vida, da democracia, do bom senso, da liberdade, do amor ao próximo. Votar em Lula13 é permitir um futuro digno para as futuras gerações.",positive
268,Bolsonaro vendo o resultado kkkkkkkkk,positive
269,"Dois memes estão resumindo o segundo turno e as eleições 2022 como um todo:

""Nada muda o futuro de Jair Bolsonaro""

""Lula, você será sempre famoso"".

A imagem pública de ambos é o grande pano de fundo dessas eleições.",neutral
270,"Na reta final das eleições, a GN recapitulou atos, falas e decisões de Jair Bolsonaro para você relembrar ou enviar a quem ainda tem dúvidas sobre o voto no dia 30 de outubro.",positive
271,"Lula se fosse fake vc desmentia mas como é vdd vc só diz que ele tá mentindo ent prova que é mentira 
Prova que vc. Não é ladrão,que vc só tá concorrendo as eleições pq teu amigo falou que vc deveria ser julgado em outra cidade por causa da idade kkkk seu bandido safado",negative
272,"O Partido da Causa Operária está imprimindo 3 milhões de panfletos para garantir a vitória de Lula no 2º turno das eleições. 
Caso queira contribuir com a campanha, ajudando financeiramente ou recebendo panfletos para distribuir, me manda um direct.",neutral
273,"É o que estou falando. Pará, maior colégio Eleitoral do Norte, está em campanha pró-Lula. Helder não está pra brincadeira. Lula venceu aqui e vai ampliar mais",positive
274,Imagina quando vc descobrir que isso tem tanto poder de conversão de voto pra Bolsonaro quanto aqueles caras fazendo L com livros tem pro Lula,positive
275,"Não vi nenhuma nova adesão. Todos já haviam declarado antes! A novidade foi alguns que fazem partes das duplas falarem que não apoiam o Bolsonaro, apenas o seu parceiro da dupla.",negative
276,"RUMO A VITÓRIA!! 

Se as eleições em 2° turno fossem hoje, Lula seria eleito Presidente da República com maioria absoluta de votos  

Estamos a um passo do Brasil que sonhamos e merecemos 

SE VOCÊ FAZ PARTE DOS 54% QUE IRÁ ELEGER LULA, COMPARTILHE ",positive
277,"Não passo pano irmão,  bolsonaro tem que sair de lá, é tudo de ruim, mas Lula é farinha do mesmo saco,  terrorista igual, não voto em nenhum",negative
278,"A diferença entre Lula e Bolsonaro. Lula diz: ""O trabalhador precisa de boas condições de trabalho e salário digno"". Bolsonaro afirma:""Como é difícil ser patrão no Brasil"" ""Não lute por direitos, se contente que tens trabalho"" Espero que ajude os indecisos a decidirem por Lula.",positive
279,O Nordeste é LULA e continuamos salvando o Brasil ,positive
280,"O norte basicamente tem só dois estados relevantes em população: Amazonas e Pará. E nesses dois o Lula ganhou ( além de AP e TO). RO, AC e RR tem população tão pequena que só os votos do PA já devem suprir essa diferença.",positive
281,"Na história das eleições as pesquisas nunca erraram, é Lula o novo presidente do Brasil!",positive
282,"Eleições de 2002 também teve churrasco lá em casa, uns santinho do Aécio tamanho A5 ótimos pra fazer aviãozinho de papel e colei um adesivo grandão do lula na porta de casa",positive
283,"Precisou Bolsonaro entregar a obra 10 anos dps do prazo do Lula, enquanto isso países vizinhos eram financiados pelo governo petista por meio do BNDS, foram gastos 12 bilhões para levar agua a diversas regiões do nordeste enquanto isso o PT deu 30 bilhões para paises ditatoriais.",negative
284,O futuro ministro de bolsonaro se ele ganhar as eleições. My god! O cara que adora da tiros em policias federais.,positive
285,"Em restaurante,Bolsonaro assiste a programa eleitoral de Lula, vê mensagem de 'Bolsolão' e reclama de 'mentiras' | Eleições 2022 | O Globo",positive
286,"Atenção Carlos, dê um alerta a Bolsonaro para q levante a parcialidade da Globo nas últimas eleições ajudando Collor, FHC e Collor no debate da Globo. Pesquise essas verdades e joguem no debate para o Brasil! Vai desmontar o consórcio!",neutral
287,"Pesquisas para militantes, sem nenhum compromisso com margens de erro nessas eleições.
Espere sempre da Atlas e da Ipec: cenários positivos para Lula e negativos para Bolsonaro.
Espere sempre da Brasmarket e Paraná: cenários positivos para Bolsonaro e negativos para Lula.",positive
288,"Estamos otimistas!
Lula Presidente!",positive
289,"Hasta la vitoria!
Lula 13",positive
290,"Hasta la vitoria!
Lula 13",positive
291,"FALTA POUCO

VAMOS COM LULA",positive
292,"Pesquisa IPEC para o segundo turno das eleições 2022

Lula: 50%
Bolsonaro: 43%

#Eleiçoes2022 #pesquisaeleitoral #pesquisa #eleicoes",neutral
293,Central das eleições ou comitê de campanha do Lula?,positive
294,Lula gigante,positive
295,Ipec entrevistou 3.008 pessoas em 183 municípios entre sábado (22) e segunda-feira (24). #Eleições #Lula #Bolsonaro #TVCultura,positive
296,LULA CRESCEU MDS ,positive
297,"Pesquisa falsa. Não há, em nenhuma metodologia séria, diferença para o ladrão, que seja maior que 3 pontos, nem as tendenciosas… Hoje Bolsonaro está na frente …",negative
298,uma das coisas mais interessantes sobre essa eleição é que o bolsonaro está simplesmente em faniquitos da pra sentir o cheiro do DESESPERO dele em qualquer aparição enquanto o presidente lula nao poderia estar mais convicto que ele ganhou as eleições isso é lindo,positive
299,"A militância está muito forte e engajada e isso é excelente! Estamos perto da vitória e iremos continuar trabalhando forte pela vitória do Lula!!!!!! 

Lula 53% no Atlas
Lula 54% no IPEC

LULA PRESIDENTE",neutral
300, pro amor vencer o ódio! VOU DE LULA,positive
301,"Bora pra cima!

Nada de relaxar, só faltam 6 dias e ainda podemos garantir mais votos para o Lula.

Vamos que vamos!",positive
302,"Lpor falar em economia, quem será o ministro da economia de Lula?",positive
303,"54-10= 44 lulaladrao 
46+14= 60 bolsonaro",positive
304,"Apuração do jornalista Tales Faria, do UOL, Roberto Jefferson espera atuação de Bolsonaro a seu favor, e ela deve acontecer após as eleições, se Bolsonaro for vitorioso. Logo, votar em Bolsonaro é salvar Jefferson. #RobertoJefersobéBolsonaro",negative
305,Voto dos militares é essencial para definir as eleições no segundo turno UMA PENA QUE BOLSONARO FEZ COM ESSA CLASSE NA APROVAÇÃO DA LEI 13.954/19 DEIXANDO DE LADO QUEM O APOIOU POR MAIS DE 28 ANOS ESSES VOTOS VÃO FAZER FALTA DIGO POR MIM NÃO VOTO!!   https://sociedademilitar.com.br/2022/10/paradoxo-ou-logica-militar-enquete-apurou-de-quem-e-o-voto-dos-militares-da-reserva-que-se-agrupam-em-redes-sociais-em-todo-o-brasil.html… !! :),positive
306,"Cuidado as fakes  news vão crescer agora na reta final das eleições,ficar atento vão querer confundi o povo brasileiro achar que somos burros ,bolsonaro nunca mais 
Nosso foco lula presidente 
Dia 30 de outubro 
Lula 13",positive
307,Vou de lula 13 central,positive
308,"Lula 53% no Altas (a mais confiável)
Lula 54% pelo IPEC

ESTAMOS MUITO PERTO DA VITÓRIA!!!!",neutral
309,corta pro final das eleições o Lula assim olhando pro verme.,positive
310,"IPEC: PESQUISA PRESIDENCIAL, de 22 a 24/10

 2º TURNO | VOTOS TOTAIS

 Lula (PT): 50% (=)
 Bolsonaro (PL): 43% (=)

 Brancos e Nulos: 5% (=)
 Indecisos: 2% (=)",neutral
311,"O mole que Bolsonaro não deu em 4 anos, os cara estão fazendo por ele. Tem amigo que é melhor manter longe! Só trás problemas!

#eleicoes #2022MAMA #HouseOfTheDragonEp10 #MAMA2022",negative
312,Bolsonaro e Guedes querem e vão mexer no salário mínimo logo após as eleições. Mais um absurdo!!!,positive
313,"Eu realmente ia me abster dessas eleições, mas quando vi verificado, artista vendido e cantores medíocres com lula eu me emputeci e soquei 22 na urna com ódio",positive
314,"Ficaram sabendo? A galera tá falando pra escrever Lula 53%.

Lula 53%",positive
315,Vai perder antes das eleições o lula ladrão,positive
316,"Hj tem aula de trade pras eleições, considerando candidatura dos dois lados, Lula vc me prometeu em horário nacional",positive
317,Debate da Globo do 2º turno: Lula e Bolsonaro poderão usar tempo livremente em todos os blocos | Eleições 2022 | G1,neutral
318,"'Máquina de destruição de valores democráticos', diz Lula sobre ataques de Roberto Jefferson a policiais federais | Eleições 2022 | G1",negative
319,"O pau torando aqui na casa do vizinho discutindo eleições
Vim até tomar um café no quintal
""Ele prega a violência""
""Ele só fala merda, cara!""
""Acredito q da próxima vez aquela mulher ganha [Tebet]""
É isso.
O cara q tá tentando virar voto pro Lula tá depositando esperança na Tebet",positive
320,Olha aí o resultado do primeiro turno na Região Centro Oeste e esse Instituto é tão mentiroso que diz que Lula virou na região. Kkkkkkkkk,neutral
321,"Bolsonaro vai perder as eleições porque ele não sabe governar. Porque não gosta de povo, não se reúne com sindicatos, movimentos sociais.",negative
